topic,word,count,prop,score,x,y,helper,expected,expected_scaled,expected_D,expected_dv
0,missed,8,0.0019782393669634025,-0.33433,-49.40284614715808,-144.67099553251248,-0.0006613847675568744,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,wanted,12,0.002967359050445104,0.27796,-49.40284614715808,-144.67099553251248,0.0008248071216617211,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,wife,16,0.003956478733926805,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,son,22,0.005440158259149357,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,born,7,0.0017309594460929772,0.30080500000000004,-49.40284614715808,-144.67099553251248,0.0005206812561819982,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,combat,5,0.0012363996043521265,-0.23791500000000002,-49.40284614715808,-144.67099553251248,-0.00029415801186943614,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,mission,7,0.0017309594460929772,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,secular,2,0.0004945598417408506,-0.01402,-49.40284614715808,-144.67099553251248,-6.9337289812067245e-06,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,weekly,4,0.0009891196834817012,0.030246666666666668,-49.40284614715808,-144.67099553251248,2.9917573359709857e-05,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,possibly,5,0.0012363996043521265,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,worth,34,0.008407517309594461,0.14769500000000002,-49.40284614715808,-144.67099553251248,0.001241748269040554,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,arrival,3,0.000741839762611276,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,american,23,0.0056874381800197825,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,southern,4,0.0009891196834817012,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,diverse,3,0.000741839762611276,0.2824,-49.40284614715808,-144.67099553251248,0.00020949554896142436,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,proud,2,0.0004945598417408506,0.45082,-49.40284614715808,-144.67099553251248,0.0002229574678536103,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,auto,7,0.0017309594460929772,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,slow,4,0.0009891196834817012,-0.17367333333333335,-49.40284614715808,-144.67099553251248,-0.00017178371249587868,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,fewer,8,0.0019782393669634025,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,cigarette,7,0.0017309594460929772,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,bluntly,2,0.0004945598417408506,0.15793,-49.40284614715808,-144.67099553251248,7.810583580613253e-05,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
