neg,neu,pos,compound
0.148,0.599,0.252,0.9348
0.104,0.824,0.071,-0.4003
0.081,0.782,0.137,0.2481
0.183,0.687,0.13,-0.4404
0.07,0.868,0.062,-0.3384
0.169,0.76,0.071,-0.8988
0.148,0.785,0.067,-0.9617
0.064,0.936,0,-0.3412
0,1,0,0
0.455,0.545,0,-0.3612
0.141,0.768,0.09,-0.5161
0.146,0.769,0.086,-0.9432
0.222,0.726,0.052,-0.7579
0,0.633,0.367,0.4404
0,0.748,0.252,0.4019
0.049,0.793,0.157,0.7479
0,1,0,0
0.233,0.767,0,-0.886
0.104,0.647,0.249,0.5423
0,0.615,0.385,0.3612
0.247,0.685,0.068,-0.9728
0.374,0.576,0.05,-0.9433
0,0.835,0.165,0.3716
0,0.385,0.615,0.4926
0.118,0.805,0.077,-0.9204
0.152,0.768,0.08,-0.9512
0.107,0.775,0.117,-0.4057
0.258,0.368,0.374,0.2225
0.047,0.753,0.2,0.9791
0,0.615,0.385,0.3612
0,1,0,0
0.123,0.729,0.148,0.2556
0,0.615,0.385,0.3612
0.219,0.765,0.016,-0.9877
0.108,0.82,0.071,-0.5267
0.183,0.715,0.103,-0.3788
0.268,0.732,0,-0.4628
0.158,0.78,0.062,-0.9072
0.151,0.721,0.128,-0.1779
0,0.604,0.396,0.5563
0,0.792,0.208,0.6369
0,1,0,0
0,0.508,0.492,0.4404
0,0.615,0.385,0.3612
0.059,0.755,0.185,0.7334
0.079,0.866,0.055,-0.7185
0.155,0.731,0.114,-0.6956
0.09,0.865,0.045,-0.6509
0.083,0.795,0.121,0.25
0.374,0.447,0.179,-0.5423
0.313,0.533,0.154,-0.5684
0.021,0.886,0.093,0.8277
0.167,0.788,0.046,-0.9933
0,0.574,0.426,0.7707
0.036,0.743,0.221,0.9218
0.193,0.669,0.138,-0.5719
0.126,0.874,0,-0.5142
0.146,0.775,0.079,-0.7584
0.272,0.728,0,-0.9442
0.06,0.673,0.267,0.9603
0.073,0.85,0.077,0.4535
0.23,0.707,0.063,-0.9202
0.188,0.596,0.216,0.56
0.178,0.762,0.059,-0.9552
0.068,0.792,0.14,0.983
0,0.719,0.281,0.6416
0.285,0.715,0,-0.7496
0.197,0.708,0.094,-0.759
0.057,0.833,0.11,0.9773
0,0.763,0.237,0.4767
0.156,0.826,0.018,-0.9764
0.142,0.763,0.094,-0.8929
0.138,0.744,0.118,-0.7675
0,0.506,0.494,0.5994
0.191,0.696,0.113,-0.9809
0,0.856,0.144,0.4926
0.023,0.607,0.369,0.9857
0,0.536,0.464,0.3818
0,0.541,0.459,0.6239
0.039,0.775,0.186,0.7968
0,0.561,0.439,0.5719
0.122,0.791,0.087,-0.9698
0,1,0,0
0,1,0,0
0.115,0.764,0.121,-0.0772
0,0.862,0.138,0.4939
0,1,0,0
0.11,0.777,0.113,-0.2023
0.32,0.68,0,-0.9753
0.077,0.815,0.107,0.6946
0.104,0.801,0.095,0.8175
0.171,0.612,0.217,0.5416
0.427,0.573,0,-0.8481
0.258,0.627,0.115,-0.8396
0,1,0,0
0.024,0.919,0.058,0.7269
0,1,0,0
0,1,0,0
0,0.37,0.63,0.6249
0,0.615,0.385,0.3612
0.074,0.702,0.224,0.5279
0.058,0.559,0.384,0.9565
0.132,0.805,0.063,-0.4867
0.274,0.726,0,-0.2235
0.096,0.792,0.113,0.2023
0,1,0,0
0.366,0.545,0.089,-0.6249
0.082,0.789,0.129,0.9487
0.056,0.711,0.233,0.9895
0,0.635,0.365,0.8016
0.127,0.819,0.054,-0.8788
0.085,0.708,0.207,0.7506
