word,count,dataset
cristmas dinner,1,metoo
dinner nice,1,metoo
nice safe,2,metoo
safe christmas,1,metoo
christmas music,1,metoo
music maybe,1,metoo
maybe church,1,metoo
safe chistmas,1,metoo
chistmas movies,1,metoo
lot worse,1,metoo
way ❤💖🎄🎇🎆,1,metoo
❤💖🎄🎇🎆 👼🎅💆,1,metoo
many feel,1,metoo
struggle stay,1,metoo
stay strong,13,metoo
friends ❤️😢😊,1,metoo
fingers hesitate,1,metoo
hesitate writing,1,metoo
worst part,6,metoo
one really,2,metoo
really hears,1,metoo
will help,7,metoo
life started,1,metoo
vibe im,1,metoo
im sometimes,1,metoo
sometimes confused,1,metoo
act inappropriately,3,metoo
tarnished im,1,metoo
im hopeful,1,metoo
will start,3,metoo
sh ts,1,metoo
ts still,1,metoo
still control,1,metoo
go away,10,metoo
steady history,1,metoo
emotional abuse,4,metoo
peers occasionally,1,metoo
occasionally physical,1,metoo
four kids,1,metoo
achievers since,1,metoo
broken relationship,1,metoo
wont bog,1,metoo
take away,4,metoo
self confidence,2,metoo
physically close,1,metoo
never felt,3,metoo
felt good,7,metoo
emotional baggage,1,metoo
one best,1,metoo
predator knows,1,metoo
spot prey,1,metoo
weak insecure,1,metoo
insecure vulnerable,1,metoo
best efforts,1,metoo
just friends,1,metoo
friendship progressed,1,metoo
utilized many,1,metoo
many methods,1,metoo
become reliant,1,metoo
never forget,7,metoo
white lie,1,metoo
didnt want,5,metoo
telling people,2,metoo
never known,2,metoo
desires mattered,1,metoo
ever lied,1,metoo
friends thats,1,metoo
press every,1,metoo
every button,1,metoo
depressed alone,1,metoo
just told,3,metoo
spent months,1,metoo
months wearing,1,metoo
never ending,5,metoo
ending id,1,metoo
id told,2,metoo
many times,26,metoo
lost count,2,metoo
husband told,1,metoo
abuser yes,1,metoo
back seat,4,metoo
friends came,1,metoo
car like,1,metoo
couldnt find,2,metoo
just took,3,metoo
month later,4,metoo
worst girlfriend,1,metoo
stop trying,1,metoo
methods worked,1,metoo
started saying,1,metoo
saying id,1,metoo
id regret,1,metoo
every shred,1,metoo
confidence id,1,metoo
id managed,1,metoo
almost flunked,1,metoo
got worse,2,metoo
via skype,1,metoo
just standing,2,metoo
driveway waiting,1,metoo
didnt look,2,metoo
look depressed,1,metoo
care though,1,metoo
hadnt done,1,metoo
went inside,2,metoo
hadnt killed,1,metoo
wanted something,1,metoo
nerves next,1,metoo
next thing,11,metoo
know hes,1,metoo
hes joking,1,metoo
cant finish,1,metoo
southern comfort,1,metoo
im waking,1,metoo
parking lot,8,metoo
still screaming,1,metoo
now shes,1,metoo
shes called,1,metoo
drunk whore,1,metoo
sisters arms,1,metoo
bed im,1,metoo
im still,9,metoo
still drunk,1,metoo
went back,14,metoo
back downstairs,1,metoo
downstairs looking,1,metoo
suggestable drunk,1,metoo
mimic whatever,1,metoo
whatever emotions,1,metoo
emotions someone,1,metoo
someone puts,1,metoo
puts forward,1,metoo
small touching,1,metoo
switch flipping,1,metoo
gets sexual,1,metoo
still hazy,1,metoo
parents living,1,metoo
living room,9,metoo
just like,6,metoo
birth control,1,metoo
control like,1,metoo
didnt matter,4,metoo
say nothing,1,metoo
ice water,1,metoo
next morning,11,metoo
goes home,1,metoo
mom driving,1,metoo
memory tested,1,metoo
hed said,1,metoo
minute prior,1,metoo
sober enough,1,metoo
memory years,1,metoo
years later,34,metoo
parole violation,1,metoo
violation hed,1,metoo
hed done,2,metoo
little girl,21,metoo
girl exactly,1,metoo
birthday party,1,metoo
best thing,4,metoo
ever happened,8,metoo
love came,1,metoo
came back,11,metoo
never wanted,3,metoo
even three,1,metoo
three months,3,metoo
months later,6,metoo
christmas eve,1,metoo
remember going,1,metoo
letter trying,1,metoo
huge mistake,1,metoo
mistake 8,1,metoo
8 years,13,metoo
later still,1,metoo
still going,2,metoo
going strong,1,metoo
relationship years,1,metoo
next year,5,metoo
went insane,1,metoo
fell apart,1,metoo
friends withdrew,1,metoo
manic depression,1,metoo
depression crying,1,metoo
crying jags,1,metoo
jags exhaustion,1,metoo
exhaustion paranoia,1,metoo
paranoia pain,1,metoo
husband held,1,metoo
every mountain,1,metoo
recovery im,1,metoo
may never,2,metoo
thats ok,1,metoo
didnt like,1,metoo
person anyway,1,metoo
stronger now,1,metoo
now wiser,1,metoo
fooled like,1,metoo
harmed like,1,metoo
soul mate,1,metoo
husband gave,1,metoo
walk away,5,metoo
toxic person,1,metoo
every day,13,metoo
hes helped,1,metoo
never get,5,metoo
get justice,4,metoo
come forward,9,metoo
past away,1,metoo
feeling kind,1,metoo
get creative,1,metoo
uncle always,1,metoo
always said,1,metoo
ran away,5,metoo
fraser river,1,metoo
ever find,1,metoo
bad girl,1,metoo
pretty sure,3,metoo
rain came,1,metoo
never seen,2,metoo
just gone,1,metoo
group will,2,metoo
really hard,1,metoo
justice even,1,metoo
dream justice,1,metoo
reality justice,1,metoo
us get,1,metoo
justice whether,1,metoo
whether real,1,metoo
can eventually,1,metoo
eventually move,1,metoo
strong healed,1,metoo
healed survivor,1,metoo
survivor hugs,1,metoo
recently started,1,metoo
started premarital,1,metoo
premarital counseling,1,metoo
quickly said,1,metoo
never talked,4,metoo
also frustrated,1,metoo
aware now,1,metoo
still many,1,metoo
many gaps,1,metoo
even fill,1,metoo
ever since,4,metoo
personal support,1,metoo
fighters victims,1,metoo
experiences minimised,1,metoo
big part,1,metoo
overall problem,1,metoo
problem apart,1,metoo
obstructing help,1,metoo
also teaches,1,metoo
teaches us,1,metoo
recently developed,1,metoo
inflammatory disorder,1,metoo
oh great,1,metoo
great another,1,metoo
another syndrome,1,metoo
one will,2,metoo
will take,4,metoo
take seriously,1,metoo
adverse childhood,2,metoo
childhood experiences,2,metoo
experiences study,1,metoo
robust international,1,metoo
international large,1,metoo
large cohort,1,metoo
cohort study,1,metoo
definitively shows,1,metoo
serious adverse,1,metoo
experiences result,1,metoo
result serious,1,metoo
serious adult,1,metoo
adult health,1,metoo
health problems,2,metoo
problems beyond,1,metoo
psychological damage,1,metoo
damage including,1,metoo
stuff showed,1,metoo
now totally,1,metoo
totally onboard,1,metoo
onboard told,1,metoo
completely understanding,1,metoo
sympathetic yay,1,metoo
yay sometimes,1,metoo
sometimes things,1,metoo
things can,2,metoo
can go,3,metoo
go right,1,metoo
iwont stand,1,metoo
anymore thank,1,metoo
old daughter,2,metoo
brave women,2,metoo
friends 40,1,metoo
40 something,1,metoo
something uncle,1,metoo
uncle tried,1,metoo
police officer,7,metoo
milan ohio,1,metoo
police made,1,metoo
life miserable,1,metoo
wonderful sheltered,1,metoo
sheltered life,1,metoo
just seeking,1,metoo
seeking attention,1,metoo
attention perhaps,1,metoo
sharing something,2,metoo
something truly,1,metoo
truly painful,1,metoo
man's world,1,metoo
god bless,3,metoo
tv new,1,metoo
social media,11,metoo
done victims,1,metoo
finally listening,1,metoo
importantly believing,1,metoo
helped people,1,metoo
silenced hugs,1,metoo
fellow warriors,1,metoo
start healing,1,metoo
incest however,1,metoo
abuse ones,1,metoo
friends dad,4,metoo
bn kidnapped,1,metoo
two men,3,metoo
men gang,1,metoo
gang raped,4,metoo
hs boys,1,metoo
seems like,3,metoo
broken tiny,1,metoo
tiny pieces,1,metoo
bless us,1,metoo
date raped,3,metoo
raped twice,3,metoo
dont think,2,metoo
strong person,1,metoo
flourished regardless,1,metoo
initial attacks,1,metoo
triumphant take,1,metoo
take back,4,metoo
experience numerous,1,metoo
numerous times,1,metoo
always halted,1,metoo
either shame,1,metoo
hurting family,1,metoo
family members,10,metoo
current time,1,metoo
time period,1,metoo
step towards,2,metoo
towards healing,4,metoo
numerous therapists,1,metoo
gone periods,1,metoo
periods without,1,metoo
experience somehow,1,metoo
somehow like,1,metoo
beautiful lawn,1,metoo
experience pops,1,metoo
weed needs,1,metoo
well manicured,1,metoo
manicured watered,1,metoo
watered lawn,1,metoo
current experience,1,metoo
past event,1,metoo
experience hoping,1,metoo
help someone,2,metoo
family structure,1,metoo
express something,1,metoo
abuse started,6,metoo
originally thought,1,metoo
child body,1,metoo
ejaculated without,1,metoo
without penetration,1,metoo
brain created,1,metoo
weird way,2,metoo
mothers parents,1,metoo
2 3,3,metoo
3 months,6,metoo
months old,2,metoo
4 years,15,metoo
south america,1,metoo
sent back,3,metoo
mothers family,1,metoo
distant relationship,1,metoo
learn anything,1,metoo
mind towards,1,metoo
forever grateful,1,metoo
parents worked,1,metoo
worked hard,3,metoo
hard attempting,1,metoo
america dream,1,metoo
dream like,1,metoo
always perceived,1,metoo
different child,1,metoo
say whatever,1,metoo
whatever crossed,1,metoo
brain without,1,metoo
without regard,1,metoo
may effect,1,metoo
receiving end,1,metoo
fourth grade,1,metoo
standardized tests,1,metoo
tests scores,1,metoo
“12 grade,1,metoo
beyond “,1,metoo
first magnet,1,metoo
magnet school,1,metoo
already taken,1,metoo
sisters husband,2,metoo
child predator,1,metoo
early age,3,metoo
money originally,1,metoo
often compare,1,metoo
16 years,6,metoo
10 years,20,metoo
years older,9,metoo
saying things,1,metoo
like “why,1,metoo
“why can’t,1,metoo
like ”,1,metoo
life forever,2,metoo
3rd grade,1,metoo
14 years,12,metoo
9th grade,2,metoo
12 years,11,metoo
old someone,1,metoo
getting married,2,metoo
closest older,1,metoo
older family,1,metoo
22 years,2,metoo
heavy confession,1,metoo
confession upon,1,metoo
younger sister,6,metoo
9 years,7,metoo
child without,1,metoo
real knowledge,1,metoo
knowledge besides,1,metoo
somehow thought,1,metoo
period ”,1,metoo
reply “no”,1,metoo
response “ok,1,metoo
“ok let,1,metoo
