,topic,word,count,prop,score
151,1,completely,6,0.001251303441084463,0.23060999999999998
152,1,tired,1,0.00020855057351407716,-0.17987999999999998
153,1,pac,1,0.00020855057351407716,0.0
154,1,brutally,2,0.0004171011470281543,0.15793
155,1,quickly,10,0.0020855057351407717,0.0
157,1,visit,9,0.0018769551616266945,0.0
158,1,visit,9,0.0018769551616266945,0.37801999999999997
159,1,guard,8,0.0016684045881126173,0.21615
160,1,guard,8,0.0016684045881126173,0.25816
161,1,dating,18,0.003753910323253389,0.0
162,1,whispered,3,0.0006256517205422315,-0.19821
163,1,determined,5,0.0010427528675703858,-0.01616
164,1,teacher,9,0.0018769551616266945,0.61085
165,1,friend,113,0.02356621480709072,0.47686999999999996
167,1,sacrifice,2,0.0004171011470281543,-0.08345
168,1,sacrifice,2,0.0004171011470281543,-0.03659
169,1,watching,18,0.003753910323253389,0.0
171,1,erect,1,0.00020855057351407716,0.24185
172,1,erect,1,0.00020855057351407716,0.0
173,1,car,37,0.007716371220020855,0.0
175,1,hand,37,0.007716371220020855,0.27758
176,1,hand,37,0.007716371220020855,0.0
178,1,accomplished,1,0.00020855057351407716,0.28448
180,1,management,5,0.0010427528675703858,0.0
182,1,lift,6,0.001251303441084463,0.0
183,1,lift,6,0.001251303441084463,0.048780000000000004
184,1,insisting,3,0.0006256517205422315,-0.07997
185,1,libel,1,0.00020855057351407716,0.0
186,1,libel,1,0.00020855057351407716,-0.37171
187,1,officially,4,0.0008342022940563086,0.0
189,1,closing,2,0.0004171011470281543,0.0
190,1,closing,2,0.0004171011470281543,0.0
191,1,guy,92,0.0191866527632951,0.0
192,1,guy,92,0.0191866527632951,0.0
193,1,navigate,2,0.0004171011470281543,0.0
194,1,corner,13,0.002711157455683003,-0.044539999999999996
195,1,corner,13,0.002711157455683003,0.0
196,1,mouth,22,0.004588112617309697,0.0
197,1,mouth,22,0.004588112617309697,0.0
199,1,spoken,7,0.00145985401459854,-0.19821
200,1,traveled,1,0.00020855057351407716,0.0
201,1,place,2,0.0004171011470281543,0.21994
202,1,place,2,0.0004171011470281543,0.18407
203,1,shitty,3,0.0006256517205422315,-0.70641
204,1,taxi,2,0.0004171011470281543,0.0
205,1,taxi,2,0.0004171011470281543,0.0
206,1,sat,7,0.00145985401459854,0.0
208,1,paralyzed,5,0.0010427528675703858,-0.34088
209,1,medical,4,0.0008342022940563086,0.04265
210,1,medical,4,0.0008342022940563086,0.10297
215,1,develop,3,0.0006256517205422315,0.30418
216,1,give,21,0.004379562043795621,0.0
217,1,give,21,0.004379562043795621,0.66009
