topic,word,count,prop,score,x,y,helper,expected,expected_scaled
8,invite,5,0.00166113,0.07217,79.30247074,151.1568297,1.20E-04,0.105768871,1
8,dancing,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,rap,2,6.64E-04,0.07233,79.30247074,151.1568297,4.81E-05,0.105768871,1
8,crisis,2,6.64E-04,-0.71597,79.30247074,151.1568297,-4.76E-04,0.105768871,1
8,inform,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,gather,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,solidarity,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,messenger,4,0.001328904,0,79.30247074,151.1568297,0,0.105768871,1
8,link,5,0.00166113,0,79.30247074,151.1568297,0,0.105768871,1
8,text,8,0.002657807,0,79.30247074,151.1568297,0,0.105768871,1
8,illustrate,2,6.64E-04,0.35083,79.30247074,151.1568297,2.33E-04,0.105768871,1
8,remains,4,0.001328904,-0.0296,79.30247074,151.1568297,-3.93E-05,0.105768871,1
8,showing,9,0.002990033,0,79.30247074,151.1568297,0,0.105768871,1
8,miracle,2,6.64E-04,0.52445,79.30247074,151.1568297,3.48E-04,0.105768871,1
8,decade,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,dam,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,spirit,7,0.002325581,0.532915,79.30247074,151.1568297,0.001239337,0.105768871,1
8,music,9,0.002990033,0.69204,79.30247074,151.1568297,0.002069223,0.105768871,1
8,fighter,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,video,7,0.002325581,0,79.30247074,151.1568297,0,0.105768871,1
8,gathering,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,crushed,2,6.64E-04,-0.48789,79.30247074,151.1568297,-3.24E-04,0.105768871,1
8,cloth,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,discussion,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,uniting,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,comfortable,12,0.003986711,0.6227,79.30247074,151.1568297,0.002482525,0.105768871,1
8,tag,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,posting,12,0.003986711,0,79.30247074,151.1568297,0,0.105768871,1
8,embrace,2,6.64E-04,0.5202,79.30247074,151.1568297,3.46E-04,0.105768871,1
8,subject,4,0.001328904,0.07255,79.30247074,151.1568297,9.64E-05,0.105768871,1
8,sum,3,9.97E-04,0.06753,79.30247074,151.1568297,6.73E-05,0.105768871,1
8,golden,3,9.97E-04,0.68485,79.30247074,151.1568297,6.83E-04,0.105768871,1
8,blocking,5,0.00166113,0,79.30247074,151.1568297,0,0.105768871,1
8,aftermath,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,therapist,4,0.001328904,0,79.30247074,151.1568297,0,0.105768871,1
8,alabama,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,relation,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,sheer,2,6.64E-04,0.065446667,79.30247074,151.1568297,4.35E-05,0.105768871,1
8,content,2,6.64E-04,0.133466667,79.30247074,151.1568297,8.87E-05,0.105768871,1
8,spam,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,click,4,0.001328904,0.089665,79.30247074,151.1568297,1.19E-04,0.105768871,1
8,bate,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,prefer,3,9.97E-04,0.17069,79.30247074,151.1568297,1.70E-04,0.105768871,1
