"","word","dataset","prop"
"337","shake","metoo",8.58148116364885e-05
"338","follow","metoo",0.000171629623272977
"339","saw","metoo",0.000823822191710289
"340","driving","metoo",0.00022311851025487
"341","past","metoo",0.000978288852655969
"342","pull","metoo",0.000240281472582168
"343","late","metoo",0.000326096284218656
"344","rape","metoo",0.00199090362996653
"345","father","metoo",0.00181927400669356
"346","justice","metoo",0.000652192568437312
"347","he’s","metoo",0.000102977773963786
"348","45","metoo",6.86518493091908e-05
"349","mins","metoo",1.71629623272977e-05
"350","underage","metoo",3.43259246545954e-05
"351","pregnant","metoo",0.000514888869818931
"352","respected","metoo",0.000120140736291084
"353","sorry","metoo",0.00044623702050974
"354","story","metoo",0.00381017763666009
"355","thank","metoo",0.00185359993134815
"356","dressthat","metoo",1.71629623272977e-05
"357","dress","metoo",0.000394748133527847
"358","beautiful","metoo",0.00044623702050974
"359","wear","metoo",0.000188792585600275
"360","someone","metoo",0.0022655110272033
"361","might","metoo",0.00044623702050974
"362","asking","metoo",0.000463399982837038
"363","put","metoo",0.00180211104436626
"364","rack","metoo",1.71629623272977e-05
"365","modest","metoo",3.43259246545954e-05
"366","attacked","metoo",0.000120140736291084
"367","deserve","metoo",0.000360422208873252
"368","promotion","metoo",5.14888869818931e-05
"369","everybody","metoo",0.000154466660945679
"370","knows","metoo",0.000360422208873252
"371","ceo","metoo",8.58148116364885e-05
"372","chauvinist","metoo",1.71629623272977e-05
"373","promtionthere","metoo",1.71629623272977e-05
"374","regretsand","metoo",1.71629623272977e-05
"375","go","metoo",0.00334677765382305
"376","ahead","metoo",0.000120140736291084
"377","pretty","metoo",0.000326096284218656
"378","©","metoo",1.71629623272977e-05
"379","copyright","metoo",1.71629623272977e-05
"380","renee","metoo",1.71629623272977e-05
"381","belden","metoo",1.71629623272977e-05
"382","“i","metoo",8.58148116364885e-05
"383","realized","metoo",0.00044623702050974
"384","best","metoo",0.000909637003346778
"385","will","metoo",0.00470265167767957
"386","honest","metoo",0.000154466660945679
"387","truth","metoo",0.000514888869818931
"388","willing","metoo",0.00022311851025487
"389","mirror","metoo",0.000102977773963786
"390","puffy","metoo",1.71629623272977e-05
"391","low","metoo",8.58148116364885e-05
"392","self","metoo",0.00104694070196516
"393","esteem","metoo",0.000171629623272977
"394","lie","metoo",0.000188792585600275
"395","really","metoo",0.00199090362996653
"396","need","metoo",0.00164764438342058
"397","change","metoo",0.000875311078692182
"398","wether","metoo",1.71629623272977e-05
"399","attitude","metoo",6.86518493091908e-05
"400","weaknesses","metoo",1.71629623272977e-05
"401","etc","metoo",0.000549214794473526
"402","show","metoo",0.00044623702050974
"403","beauty","metoo",0.000171629623272977
"404","strength","metoo",0.000549214794473526
"405","intelligent","metoo",5.14888869818931e-05
"406","woman","metoo",0.00116708143825624
"407","allowed","metoo",0.000377585171200549
"408","cheat","metoo",3.43259246545954e-05
"409","broken","metoo",0.000257444434909465
"410","men","metoo",0.00350124431476873
"411","decided","metoo",0.000875311078692182
"412","listen","metoo",0.000394748133527847
"413","saying","metoo",0.000703681455419205
"414","use","metoo",0.000549214794473526
"415","intelligence","metoo",5.14888869818931e-05
"416","changes","metoo",5.14888869818931e-05
"417","pieces","metoo",0.000102977773963786
"418","free","metoo",0.000497725907491633
"419","”","metoo",0.000652192568437312
"420","~domestic","metoo",1.71629623272977e-05
"421","violence","metoo",0.000326096284218656
"422","survivor","metoo",0.00111559255127435
"423","assault","metoo",0.00113275551360165
"424","mirrors","metoo",3.43259246545954e-05
"425","endstigma","metoo",1.71629623272977e-05
"426","glad","metoo",0.000411911095855145
"427","safe","metoo",0.000617866643782717
"428","us","metoo",0.00257444434909465
"429","keeping","metoo",0.000257444434909465
"430","secret","metoo",0.000257444434909465
"431","50","metoo",0.000171629623272977
"432","affected","metoo",0.000154466660945679
"433","made","metoo",0.00283188878400412
"434","feel","metoo",0.00350124431476873
"435","decent","metoo",6.86518493091908e-05
"436","guy","metoo",0.00157899253411139
"437","3","metoo",0.00178494808203896
"438","marriages","metoo",3.43259246545954e-05
"439","marriage","metoo",0.000308933321891358
"440","widow","metoo",1.71629623272977e-05
"441","anyone","metoo",0.00229983695185789
"442","else","metoo",0.000823822191710289
"443","lonely","metoo",0.000102977773963786
"444","kids","metoo",0.000652192568437312
"445","grandkids","metoo",1.71629623272977e-05
"446","putting","metoo",0.000154466660945679
"447","discussed","metoo",6.86518493091908e-05
"448","happened","metoo",0.00379301467433279
"449","child","metoo",0.00157899253411139
"450","uncle","metoo",0.000411911095855145
"451","childhood","metoo",0.000600703681455419
"452","ex","metoo",0.00066935553076461
"453","husband","metoo",0.00154466660945679
"454","married","metoo",0.000617866643782717
"455","7","metoo",0.000738007380073801
"456","endeared","metoo",1.71629623272977e-05
"457","hours","metoo",0.000326096284218656
"458","screaming","metoo",0.000360422208873252
"459","time","metoo",0.00653908864670042
"460","several","metoo",0.000652192568437312
"461","times","metoo",0.00192225178065734
"462","fists","metoo",1.71629623272977e-05
"463","flown","metoo",1.71629623272977e-05
"464","every","metoo",0.002248348064876
"465","sometimes","metoo",0.000652192568437312
"466","table","metoo",0.000188792585600275
"467","dresser","metoo",3.43259246545954e-05
"468","drawers","metoo",1.71629623272977e-05
"469","thrown","metoo",8.58148116364885e-05
"470","last","metoo",0.00101261477731056
"471","wait","metoo",0.000120140736291084
"472","fall","metoo",0.000120140736291084
"473","asleep","metoo",0.000411911095855145
"474","wake","metoo",0.000205955547927572
"475","pinned","metoo",0.000137303698618382
"476","attempted","metoo",0.000274607397236763
"477","sympathy","metoo",5.14888869818931e-05
"478","similar","metoo",0.00022311851025487
"479","hate","metoo",0.000411911095855145
"480","try","metoo",0.000875311078692182
"481","suicide","metoo",0.000205955547927572
"482","leave","metoo",0.000583540719128122
"483","part","metoo",0.000995451814983266
"484","sanity","metoo",6.86518493091908e-05
"485","worth","metoo",0.000411911095855145
"486","children","metoo",0.000978288852655969
"487","turn","metoo",0.000497725907491633
"488","scarry","metoo",1.71629623272977e-05
"489","single","metoo",0.000240281472582168
"490","mom","metoo",0.00188792585600275
"491","found","metoo",0.00137303698618382
"492","easier","metoo",0.000120140736291084
"493","raging","metoo",3.43259246545954e-05
"494","raising","metoo",8.58148116364885e-05
"495","pm","metoo",5.14888869818931e-05
"496","care","metoo",0.000617866643782717
"497","wrote","metoo",0.000532051832146228
"498","poem","metoo",5.14888869818931e-05
"499","anniversary","metoo",3.43259246545954e-05
"500","horrific","metoo",8.58148116364885e-05
"501","flashbacks","metoo",0.000120140736291084
"502","trick","metoo",1.71629623272977e-05
"503","hope","metoo",0.00120140736291084
"504","mind","metoo",0.00102977773963786
"505","add","metoo",0.000652192568437312
"506","happy","metoo",0.00066935553076461
"507","anniversarya","metoo",1.71629623272977e-05
"508","love","metoo",0.00207671844160302
