topic,word,count
3,drama,5
3,resistance,2
1,medical,4
2,examination,1
8,showerd,1
5,sleept,1
3,sadly,15
2,struggle,11
9,struggle,7
8,incest,2
3,teach,10
9,teach,2
8,guide,1
9,husband's,2
3,features,2
8,sperm,2
2,donor,1
3,attend,1
8,attend,1
3,woman's,1
4,specifically,1
3,greatful,1
2,helps,16
2,remind,5
5,remind,1
9,struggles,2
9,hurts,10
8,bawling,1
9,clubbing,1
6,wasted,2
6,club,8
6,pick,13
3,introduced,3
9,passed,20
1,passed,10
9,out.i,1
9,again.i,2
8,dont,18
6,dont,15
2,voice,40
6,half,11
8,half,3
6,sleeping,28
7,washroom,1
9,vomited,1
6,there.i,2
1,nothingit,1
9,fault,37
2,fault,15
9,drunkit,1
9,bedit,1
6,didnt,37
7,didnt,1
6,couldnt,10
2,couldnt,2
6,nolongeravictim,1
1,iamstrongnow,1
3,stage,1
3,adjourned,1
8,stepfather,5
5,sacked,1
5,detective,4
1,rang,5
4,affects,4
7,affects,2
2,everyday,29
4,life/me,1
7,grandma,7
1,develop,3
7,alzheimer’s,1
4,disease,2
8,give,27
1,give,21
3,give,3
2,attention,24
2,could/while,1
4,provide,6
7,loved,18
8,loved,12
7,changed,15
4,changed,10
7,alcoholic,2
4,generally,1
7,scary,3
1,hmm,1
7,he’s,7
7,popping,1
6,nights,5
5,nights,2
2,grandmas,1
7,he’d,5
6,he’d,1
2,brush,3
7,nothing/it,1
4,mistake,9
1,proceeded,7
4,couldn’t,23
4,reason,11
6,reason,9
7,killed,4
7,depression,26
7,trust/someone,1
7,wouldn’t,8
9,promise,4
6,ringing,2
7,rushed,2
4,bawl,1
6,kylie,1
1,managed,11
5,managed,1
7,chest,20
6,tight,7
5,kitchen,8
1,staring,9
7,gonna,17
2,stuff,18
6,stuff,1
4,detail,6
9,detail,4
7,wanna,7
1,it’ll,2
2,fine,10
4,"anxiety,depression,and",1
7,bad,71
6,paranoia,2
3,puking,1
6,shaking,6
7,taking,24
3,taking,4
6,taking,2
5,taking,1
4,it’s,44
2,easy,16
3,easy,5
6,thinks,2
9,abusive,27
6,relationship,27
9,relationship,8
8,relationship,2
1,august,1
6,january,6
8,january,1
6,drank,8
9,plastered,1
6,hall,4
6,confused,13
6,hooked,1
4,followed.“why,1
4,me?”he,1
9,continued,23
7,mess,4
6,mess,2
8,fine...for,1
6,minute,11
4,that’s,11
4,it..i,1
4,nah,1
4,let’s,8
1,fuck”i,1
4,no.he,2
6,said...and,1
4,ring.“to,1
6,pants,21
6,entered,7
6,scream,10
1,scream,3
6,there...i,1
1,embarrassed,8
3,faith,8
9,silent,11
5,silent,9
6,silent,6
1,raped.a,1
9,months,29
7,months,23
8,check,6
7,away.he,1
7,backed,4
4,undress,1
4,we’re,5
7,moving,8
4,moving,2
9,fast...he,1
6,me.afterwards,1
6,messaged,4
4,vagina,5
4,felt...i,1
6,bought,6
1,onesie,2
7,birthday,7
6,birthday,3
4,owed,1
2,dark,12
1,dark,9
1,parking,9
7,sit,16
9,till,27
0,till,3
6,opened,13
9,corset,1
9,snap,1
5,pictures,9
8,deleted,3
7,deleted,2
3,haven’t,3
2,say......saying,1
0,inappropriate....we,1
0,story...sadly,1
5,exception...i,1
7,live,23
3,live,17
6,sydney,2
8,sydney,1
5,australia...yep,1
2,wonderful,8
7,wonderful,7
8,island,2
8,full,14
1,full,11
8,horror,5
4,stories....some,1
0,nurse...many,1
3,worse,14
9,worse,8
7,police...as,1
5,platform.....we,1
5,muststand,1
8,enough...this,1
4,stops,4
3,now...because,1
8,don't...it,1
8,continue.i'm,1
8,wide,5
1,rally,1
3,planned...but,1
4,count,18
8,in...happy,1
6,contribute,1
4,organise,1
5,world.united,1
1,ladies...together,1
8,this...yes,1
3,victims...but,1
2,victory,6
3,ours....from,1
5,now.(bless,1
0,ladies...stay,1
4,lets,3
3,other....cheers,1
5,cat,7
9,bothers,2
9,stop!those,1
0,unusual,1
8,opportunities,1
2,excuse,11
4,advantage,10
9,advantage,7
8,me.from,1
6,context,2
9,sexually,121
1,flat,3
1,prayed,4
8,open,26
2,open,25
9,lap,6
2,doesn't,31
9,peanut,1
4,butter,2
8,jelly,1
8,sandwich,1
2,watch,16
1,play,13
5,play,2
8,ups,1
1,knife,13
5,waist,4
1,fuck,16
6,stab,2
4,"sweet,...i",1
9,hurt,42
7,hurt,27
1,room....almost,1
9,modeling,1
2,marlin,1
1,tournament,1
6,hawaii,1
2,fisherman,1
1,posed,1
4,donald,2
1,trump.there,1
9,listed,1
2,that's,36
5,that's,3
3,victim,33
9,victim,31
2,survivor,30
3,survivor,15
9,survivor,14
4,force,11
5,force,9
9,reckoned,1
7,gal,1
6,captain,4
7,fav,1
9,alot,9
9,ashamed,23
4,ashamed,4
2,takin,1
7,anymore.because,1
9,relationships,15
6,relationships,1
7,stuck,7
3,enough.took,1
7,realise,2
3,desearved,1
7,settle,2
1,eventually,16
4,eventually,7
7,eventually,6
6,thing,66
2,thing,21
7,more.i,2
6,desearve,1
9,day.i,1
9,survived,9
6,insident,1
7,happend,3
7,perfect,5
7,lord,3
9,forgive,12
1,forgive,1
7,dares,1
7,rob,2
3,happiness,7
7,notmetoo,1
2,future,21
6,wisdom,1
6,too's,1
8,blake,3
1,laughing,10
8,posts,23
2,handle,8
7,ignore,5
4,ignore,5
8,profile,4
8,fake,9
8,ahh,1
7,missed,10
4,rise,2
3,silenced,9
6,niece,3
9,niece,2
4,cost,4
4,friendship,6
1,addition,4
6,younger,15
1,younger,8
2,younger,6
5,younger,1
9,cousin,33
6,cousin,1
6,inappropriately,7
9,trouble,12
6,trouble,4
8,degree,4
8,jury,4
9,jury,2
8,defendant,2
7,"guilty.""this",1
7,literally,9
7,originally,4
9,re-filed,1
7,june,4
8,verdict,1
8,justice,26
3,justice,9
4,justice,2
2,emotions,10
8,describe,5
1,swimming,4
8,https://chasity,1
5,wixsite.com/hopeliveshere,1
8,article,7
3,rose,1
8,mcgowan,1
2,slut-shamed,1
8,allegations,1
3,suggest,3
2,express,6
8,terms,8
3,negative,5
2,connotations,1
3,reflect,2
3,engages,1
4,refer,1
3,slut,10
4,hurled,1
3,term,3
3,deserve,20
8,virtually,1
3,guarantee,2
